text,language
" இவர்கள், போர் நடவடிக்கைகளில் சிறந்து விளங்கியதாக நம்பப்படுகிறது",Tamil
" मराठी भाषेचा उदय संस्‍कृतचा प्रभावाखाली निर्माण झालेल्या प्राकृत भाषेचा महाराष्ट्री या बोलीभाषेपासून झाला, असे बहुतांशी मानले जाते",Marathi
 14 सितम्बर 1949 को हिन्दी को भारत की राजभाषा के रूप में स्वीकार किया गया था,Hindi
"தமிழ்நாடு (Tamil Nadu) என்பது இந்தியாவின், 28 மாநிலங்களில் ஒன்றாகும்",Tamil
 भाषाविद हिन्दी एवं उर्दू को एक ही भाषा समझते है,Hindi
 காஞ்சிபுரத்தைத் தலை நகரமாகக் கொண்டு தமிழ்நாட்டின் பெரும்பகுதியைத் தங்கள் கட்டுப்பாட்டுக்குள் வைத்திருந்தனர்,Tamil
 अनेक लेखक व कवी यांना राजाश्रय होता,Marathi
स,Marathi
 त्याच़ा काळ शके ९८२(इ,Marathi
பி,Tamil
" हिन्दी में ण का उच्चारण कभी-कभी ड़ँ की तरह होता है, यानी कि जीभ मुँह की छत को एक जोरदार ठोकर मारती है",Hindi
" அத்துடன், பாண்டிய அரசிடமிருந்து, இலங்கையின் சில பகுதிகளையும் கைப்பற்றினான்",Tamil
" தமிழ்நாட்டில் பல இயற்கை வளங்கள், தமிழர் கட்டிடக் கலை சாற்றும் கோவில்கள், மலைத்தலங்கள், கடலோர ஓய்விடங்கள், பல சமயத்தினரின் வழிபாட்டுத் தலங்கள் நிறைந்துள்ளன; எட்டு உலக பாரம்பரியக் களங்கள் தமிழ்நாட்டில் உள்ளன",Tamil
 இறுதிப் பல்லவ மன்னன் அபராசிதன் ஆவான்,Tamil
" இதன் ஆட்சிப்பகுதி எல்லைகளாக, மேற்கிலும் வடக்கிலும் கேரளா, கருநாடகம் மற்றும் ஆந்திர மாநிலங்கள் உள்ளன",Tamil
 கி,Tamil
" कुडल संगम, ता",Marathi
 भरत मुनि ने नाट्यशास्त्र में उन शब्दों को देशी कहा है जो संस्कृत के तत्सम एवं सद्भव रूपों से भिन्न हैं,Hindi
 कुछ विशेष ध्वनियाँ उर्दू में अरबी और फ़ारसी से ली गयी हैं और इसी प्रकार फ़ारसी और अरबी की कुछ विशेष व्याकरणिक संरचनाएँ भी प्रयोग की जाती हैं,Hindi
राजा केसिदेवरायच्या कारकिर्दीत कोरलेला अक्षी शिलालेख हा आजवर सापडलेला मराठी भाषेतील पुराणतम शिलालेख आहे संदर्भ हवा,Marathi
,Tamil
स,Marathi
 हा लेख एका ओबडधोबड शिळेवर कोरला असून त्या शिळेचा माथ्यावर चंद्रसूर्य आणि मजकुराखाली गद्धेगाळ(?) व शेवटी पुन्हा चंद्रसूर्य असे कोरीवकामाचे स्वरूप आहे,Marathi
" ये देशी शब्द जनभाषा के प्रचलित शब्द थे, जो स्वभावतः अप्रभंश में भी चले आए थे",Hindi
 मराठी और वैदिक संस्कृत में सभी का प्रयोग किया जाता है,Hindi
மு,Tamil
 चामुण्डराजे करवियले हा आद्य मराठी लेख समजला जात असे,Marathi
 अपभ्रंश का जो भी कथ्य रूप था वही आधुनिक बोलियों में विकसित हुआ,Hindi
 हिन्दी भारत में सम्पर्क भाषा का कार्य करती है और कुछ हद तक पूरे भारत में सामान्यतः एक सरल रूप में समझी जानेवाली भाषा है,Hindi
 अरबी एवं फ़ारसी साहित्य में भारत (हिन्द) में बोली जाने वाली भाषाओं के लिए ज़बान-ए-हिन्दी पद का उपयोग हुआ है,Hindi
"व्यं केतकर), असे अनेक प्रकारचे कोश मराठीत आहेत",Marathi
 गोवा राज्यात कायद्यानुसार कोकणी ही राजभाषा असली तरी मराठीचा वापर शासनाच्या सर्व कारणासाठी होऊ शकतो,Marathi
"இன்றைய கேரளாவும், மலபாரை ஒட்டிய பகுதிகளும் சேர நாட்டின் ஆளுகைக்கு உட்பட்டிருந்தன",Tamil
 4 தொடக்கம் 6 ஆம் நூற்றாண்டுவரை ஆண்ட காலத்தைத் தமிழகத்தின் இருண்ட காலம் என்று வரலாற்றாளர்கள் கூறுவதுண்டு,Tamil
 १२५० ते इ,Marathi
